FILEPATH,FILENAME,HYDROPHONENAME,FILETIME_SEC_FROMMIDNIGHT,SIGNALTIME_SEC_FROMMIDNIGHT,TAGCODE,TOA_MICRO_SEC,SNR_DB,CRC,PHASEMARGIN,CHANNEL
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.5553687.bwm,P18DB,54860.55537,54860.55946,G724DE105,4095.5,9.15,0,9.03,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.5553687.bwm,P18DB,54860.55537,54860.55946,G724DE105,4095.5,7.9,0,8.91,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.6831655.bwm,P18DN,54860.68317,54860.68697,G7259AED5,3808.45,5.15,0,7.44,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.6831655.bwm,P18DN,54860.68317,54860.68698,G7259AED5,3815.55,3.98,0,7.62,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.6831655.bwm,P18DB,54860.68317,54860.68712,G7259AED5,3959.19,12.02,0,9.38,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.20.6831655.bwm,P18DB,54860.68317,54860.68712,G7259AED5,3959.19,10.79,0,9.12,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.1877997.bwm,P18DN,54861.1878,54861.1934,G726D97E1,5596.74,4.29,0,7.88,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.1877997.bwm,P18DB,54861.1878,54861.19353,G726D97E1,5729,10.83,0,9.34,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.1877997.bwm,P18DB,54861.1878,54861.19353,G726D97E1,5729,9.2,0,9.34,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.1877997.bwm,P18DB,54861.1878,54861.19353,G726D97E1,5729,6.69,0,9.22,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8497226.bwm,P18DN,54861.84972,54861.85006,G7253EA15,342.31,2.91,0,6.5,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8366150.bwm,P18DB,54861.83662,54861.85019,G7253EA15,13575.7,8.05,0,8.62,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8366150.bwm,P18DB,54861.83662,54861.85019,G7253EA15,13578.12,10.86,0,8.62,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8366150.bwm,P18DB,54861.83662,54861.85019,G7253EA15,13578.12,9.68,0,8.62,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8497226.bwm,P18DB,54861.84972,54861.85019,G7253EA15,470.92,9.66,0,8.62,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8497226.bwm,P18DB,54861.84972,54861.85019,G7253EA15,470.92,8.49,0,8.62,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.21.8497226.bwm,P18DB,54861.84972,54861.85019,G7253EA15,470.92,6.88,0,8.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.7017024.bwm,P18DB,54862.7017,54862.70733,G7259AED5,5628.81,8.42,0,8.19,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.7017024.bwm,P18DB,54862.7017,54862.70733,G7259AED5,5631.24,11.71,0,8.19,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.7017024.bwm,P18DB,54862.7017,54862.70733,G7259AED5,5631.24,10.54,0,8.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.7017024.bwm,P18DB,54862.7017,54862.70852,G7259AED5,6812.78,9.17,0,6.38,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.8131150.bwm,P18DB,54862.81312,54862.81647,G724DE105,3355.39,7.41,0,8.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.22.8131150.bwm,P18DB,54862.81312,54862.81647,G724DE105,3355.39,6.48,0,9,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.1833984.bwm,P18DB,54863.1834,54863.18672,G726D97E1,3317.86,7.48,0,9.12,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.1833984.bwm,P18DB,54863.1834,54863.18672,G726D97E1,3320.2,11.22,0,9.12,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.1833984.bwm,P18DB,54863.1834,54863.18672,G726D97E1,3320.2,9.38,0,9.25,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.1833984.bwm,P18DB,54863.1834,54863.18672,G726D97E1,3320.2,8.72,0,9.25,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.9993328.bwm,P18DB,54863.99933,54864.00505,G7253EA15,5717.56,6.17,0,8.56,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.23.9993328.bwm,P18DB,54863.99933,54864.00505,G7253EA15,5717.56,5.02,0,8.62,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.2975259.bwm,P18DB,54864.29753,54864.30157,G7245491E,4048.31,7.66,0,9.31,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.2975259.bwm,P18DB,54864.29753,54864.30157,G7245491E,4048.31,5.59,0,9.06,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DB,54864.73335,54864.73937,G7259AED5,6020.59,11.15,0,8.84,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DB,54864.73335,54864.73937,G7259AED5,6020.59,9.48,0,9.03,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DB,54864.73335,54864.73937,G7259AED5,6023.13,12.58,0,9.12,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DB,54864.73335,54864.73937,G7259AED5,6023.13,9.8,0,9.25,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DN,54864.73335,54864.74057,G7259AED5,7221.08,3.92,0,6.44,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DN,54864.73335,54864.74057,G7259AED5,7221.08,2.86,0,6.5,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.24.7333464.bwm,P18DN,54864.73335,54864.74057,G7259AED5,7221.08,2.26,0,7.12,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.25.0675844.bwm,P18DN,54865.06758,54865.07322,G724DE105,5633.04,4.73,0,7.94,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.25.0675844.bwm,P18DB,54865.06758,54865.07336,G724DE105,5780.03,9.15,0,8.75,2
