point_id,gpstime,easting  ,northing  ,lat  ,long 
159,13:57:39,2387714.533,220595.342,45.6428005,-121.9404702
160,13:57:40,2387714.535,220595.338,45.6428004,-121.9404702
161,13:57:41,2387714.533,220595.339,45.6428004,-121.9404702
162,13:57:42,2387714.539,220595.339,45.6428004,-121.9404701
163,13:57:43,2387714.538,220595.342,45.6428005,-121.9404701
164,13:57:44,2387714.539,220595.337,45.6428004,-121.9404701
165,13:57:45,2387714.536,220595.340,45.6428004,-121.9404702
166,13:57:46,2387714.543,220595.345,45.6428005,-121.9404701
167,13:57:47,2387714.535,220595.348,45.6428005,-121.9404702
168,13:57:48,2387714.532,220595.345,45.6428005,-121.9404702
169,13:57:49,2387714.536,220595.349,45.6428005,-121.9404702
170,13:57:50,2387714.533,220595.347,45.6428005,-121.9404702
171,13:57:51,2387714.535,220595.342,45.6428005,-121.9404702
172,13:57:52,2387714.535,220595.342,45.6428005,-121.9404702
173,13:57:53,2387714.533,220595.346,45.6428005,-121.9404702
174,13:57:54,2387714.532,220595.346,45.6428005,-121.9404702
175,13:57:55,2387714.530,220595.349,45.6428005,-121.9404702
176,13:57:56,2387714.532,220595.349,45.6428005,-121.9404702
177,13:57:57,2387714.528,220595.348,45.6428005,-121.9404703
178,13:57:58,2387714.528,220595.349,45.6428005,-121.9404703
179,13:57:59,2387714.530,220595.347,45.6428005,-121.9404702
180,13:58:00,2387714.530,220595.349,45.6428005,-121.9404702
181,13:58:01,2387714.530,220595.349,45.6428005,-121.9404702
182,13:58:02,2387714.529,220595.347,45.6428005,-121.9404703
183,13:58:03,2387714.531,220595.350,45.6428005,-121.9404702
184,13:58:04,2387714.529,220595.343,45.6428005,-121.9404703
185,13:58:05,2387714.529,220595.349,45.6428005,-121.9404702
186,13:58:06,2387714.529,220595.346,45.6428005,-121.9404702
187,13:58:07,2387714.530,220595.351,45.6428005,-121.9404702
188,13:58:08,2387714.533,220595.352,45.6428005,-121.9404702
189,13:58:09,2387714.531,220595.351,45.6428005,-121.9404702
190,13:58:10,2387714.530,220595.353,45.6428006,-121.9404702
191,13:58:11,2387714.531,220595.346,45.6428005,-121.9404702
192,13:58:12,2387714.534,220595.351,45.6428005,-121.9404702
193,13:58:13,2387714.533,220595.351,45.6428005,-121.9404702
194,13:58:14,2387714.530,220595.353,45.6428006,-121.9404702
195,13:58:15,2387714.531,220595.351,45.6428005,-121.9404702
196,13:58:16,2387714.533,220595.352,45.6428005,-121.9404702
197,13:58:17,2387714.536,220595.357,45.6428006,-121.9404702
198,13:58:18,2387714.535,220595.352,45.6428005,-121.9404702
199,13:58:19,2387714.536,220595.354,45.6428006,-121.9404702
200,13:58:20,2387714.546,220595.357,45.6428006,-121.9404700
201,13:58:21,2387714.551,220595.355,45.6428006,-121.9404700
202,13:58:22,2387714.548,220595.358,45.6428006,-121.9404700
203,13:58:23,2387714.553,220595.362,45.6428006,-121.9404699
204,13:58:24,2387714.546,220595.361,45.6428006,-121.9404700
205,13:58:25,2387714.539,220595.360,45.6428006,-121.9404701
206,13:58:26,2387714.547,220595.364,45.6428007,-121.9404700
207,13:58:27,2387714.557,220595.358,45.6428006,-121.9404699
208,13:58:28,2387714.552,220595.353,45.6428006,-121.9404700
209,13:58:29,2387714.560,220595.362,45.6428006,-121.9404699
210,13:58:30,2387714.576,220595.363,45.6428006,-121.9404696
211,13:58:31,2387714.571,220595.356,45.6428006,-121.9404697
212,13:58:32,2387714.566,220595.362,45.6428006,-121.9404698
213,13:58:33,2387714.578,220595.368,45.6428007,-121.9404696
214,13:58:34,2387714.575,220595.362,45.6428006,-121.9404697
215,13:58:35,2387714.562,220595.368,45.6428007,-121.9404698
216,13:58:36,2387714.571,220595.367,45.6428007,-121.9404697
217,13:58:37,2387714.567,220595.368,45.6428007,-121.9404698
218,13:58:38,2387714.568,220595.367,45.6428007,-121.9404698
219,13:58:39,2387714.568,220595.364,45.6428007,-121.9404697
220,13:58:40,2387714.566,220595.362,45.6428006,-121.9404698
221,13:58:41,2387714.562,220595.365,45.6428007,-121.9404698
222,13:58:42,2387714.561,220595.364,45.6428007,-121.9404698
223,13:58:43,2387714.560,220595.360,45.6428006,-121.9404699
224,13:58:44,2387714.561,220595.358,45.6428006,-121.9404698
225,13:58:45,2387714.564,220595.357,45.6428006,-121.9404698
226,13:58:46,2387714.561,220595.362,45.6428006,-121.9404698
227,13:58:47,2387714.557,220595.358,45.6428006,-121.9404699
228,13:58:48,2387714.559,220595.350,45.6428005,-121.9404699
229,13:58:49,2387714.561,220595.349,45.6428005,-121.9404698
230,13:58:50,2387714.556,220595.348,45.6428005,-121.9404699
231,13:58:51,2387714.553,220595.359,45.6428006,-121.9404699
232,13:58:52,2387714.555,220595.350,45.6428005,-121.9404699
233,13:58:53,2387714.556,220595.355,45.6428006,-121.9404699
234,13:58:54,2387714.561,220595.348,45.6428005,-121.9404698
235,13:58:55,2387714.612,220595.326,45.6428003,-121.9404692
236,13:58:56,2387714.647,220595.312,45.6428002,-121.9404687
237,13:58:57,2387714.673,220595.302,45.6428001,-121.9404684
238,13:58:58,2387714.747,220595.254,45.6427997,-121.9404674
239,13:58:59,2387714.783,220595.197,45.6427992,-121.9404670
240,13:59:00,2387714.789,220595.191,45.6427991,-121.9404669
241,13:59:01,2387714.833,220595.152,45.6427988,-121.9404663
242,13:59:02,2387714.861,220595.105,45.6427984,-121.9404659
243,13:59:03,2387714.852,220595.104,45.6427984,-121.9404660
244,13:59:04,2387714.879,220595.079,45.6427981,-121.9404657
245,13:59:05,2387714.908,220595.029,45.6427977,-121.9404653
246,13:59:06,2387714.892,220595.032,45.6427977,-121.9404655
247,13:59:07,2387714.900,220595.030,45.6427977,-121.9404654
248,13:59:08,2387714.927,220594.993,45.6427974,-121.9404651
249,13:59:09,2387714.913,220595.002,45.6427975,-121.9404652
250,13:59:10,2387714.904,220595.014,45.6427976,-121.9404654
251,13:59:11,2387714.927,220594.981,45.6427973,-121.9404651
252,13:59:12,2387714.918,220594.994,45.6427974,-121.9404652
253,13:59:13,2387714.897,220595.032,45.6427977,-121.9404655
254,13:59:14,2387714.910,220595.022,45.6427976,-121.9404653
255,13:59:15,2387714.910,220595.030,45.6427977,-121.9404653
256,13:59:16,2387714.873,220595.069,45.6427981,-121.9404658
257,13:59:17,2387714.883,220595.076,45.6427981,-121.9404656
258,13:59:18,2387714.882,220595.077,45.6427981,-121.9404657
259,13:59:19,2387714.834,220595.120,45.6427985,-121.9404663
260,13:59:20,2387714.832,220595.135,45.6427986,-121.9404663
261,13:59:21,2387714.829,220595.129,45.6427986,-121.9404663
262,13:59:22,2387714.797,220595.176,45.6427990,-121.9404668
263,13:59:23,2387714.775,220595.217,45.6427994,-121.9404671
264,13:59:24,2387714.771,220595.217,45.6427994,-121.9404671
265,13:59:25,2387714.720,220595.259,45.6427997,-121.9404678
266,13:59:26,2387714.673,220595.299,45.6428001,-121.9404684
267,13:59:27,2387714.659,220595.308,45.6428002,-121.9404686
268,13:59:28,2387714.627,220595.331,45.6428004,-121.9404690
269,13:59:29,2387714.644,220595.334,45.6428004,-121.9404688
270,13:59:30,2387714.677,220595.310,45.6428002,-121.9404683
271,13:59:31,2387714.704,220595.275,45.6427999,-121.9404680
272,13:59:32,2387714.707,220595.271,45.6427998,-121.9404679
273,13:59:33,2387714.719,220595.262,45.6427998,-121.9404678
274,13:59:34,2387714.747,220595.234,45.6427995,-121.9404674
275,13:59:35,2387714.749,220595.227,45.6427995,-121.9404674
276,13:59:36,2387714.757,220595.228,45.6427995,-121.9404673
277,13:59:37,2387714.783,220595.205,45.6427993,-121.9404670
278,13:59:38,2387714.786,220595.201,45.6427992,-121.9404669
279,13:59:39,2387714.774,220595.210,45.6427993,-121.9404671
280,13:59:40,2387714.783,220595.197,45.6427992,-121.9404670
281,13:59:41,2387714.783,220595.200,45.6427992,-121.9404670
282,13:59:42,2387714.761,220595.220,45.6427994,-121.9404672
283,13:59:43,2387714.759,220595.215,45.6427994,-121.9404673
